trial,classe,esperado_acionar,acionou,resultado,n_alertas,n_slices,max_conf_acende,labels_vistas,lat_alerta_firmware_ms
1,apaga,0,0,TN,0,14,0.0,apaga:14,
2,apaga,0,0,TN,0,14,0.0,apaga:14,
3,acende,1,0,FN,0,14,0.0,apaga:12;unknown:2,
4,acende,1,1,TP,1,14,0.68,acende:2;apaga:10;unknown:2,112.8
5,acende,1,0,FN,0,14,0.42,acende:2;apaga:8;unknown:4,
6,ruido,0,1,FP,1,14,0.51,acende:1;apaga:12;unknown:1,112.9
7,apaga,0,0,TN,0,14,0.0,apaga:14,
8,acende,1,1,TP,1,14,0.75,acende:2;apaga:9;unknown:3,112.8
9,apaga,0,0,TN,0,14,0.0,apaga:14,
10,acende,1,1,TP,1,12,0.59,acende:2;apaga:8;unknown:2,112.8
11,apaga,0,0,TN,0,14,0.0,apaga:14,
12,apaga,0,0,TN,0,14,0.0,apaga:14,
13,acende,1,1,TP,1,14,0.61,acende:2;apaga:10;unknown:2,112.8
14,acende,1,1,TP,1,15,0.76,acende:3;apaga:11;unknown:1,112.8
15,apaga,0,0,TN,0,13,0.0,apaga:13,
16,apaga,0,0,TN,0,15,0.0,apaga:15,
17,acende,1,1,TP,1,14,0.78,acende:2;apaga:11;unknown:1,112.9
18,apaga,0,0,TN,0,13,0.0,apaga:13,
19,apaga,0,0,TN,0,15,0.0,apaga:15,
20,acende,1,1,TP,1,13,0.71,acende:2;apaga:10;unknown:1,112.8
21,outra,0,1,FP,1,15,0.96,acende:2;apaga:11;unknown:2,112.8
22,acende,1,1,TP,1,14,0.85,acende:2;apaga:8;unknown:4,112.9
23,apaga,0,0,TN,0,14,0.0,apaga:14,
24,ruido,0,0,TN,0,14,0.0,apaga:14,
25,outra,0,0,TN,0,14,0.44,acende:1;apaga:13,
26,apaga,0,0,TN,0,14,0.0,apaga:14,
27,apaga,0,0,TN,0,14,0.0,apaga:14,
28,apaga,0,0,TN,0,14,0.0,apaga:14,
29,apaga,0,0,TN,0,14,0.0,apaga:14,
30,outra,0,1,FP,1,14,0.83,acende:1;apaga:12;unknown:1,112.9
31,ruido,0,0,TN,0,14,0.0,apaga:14,
32,apaga,0,1,FP,1,14,0.51,acende:1;apaga:12;unknown:1,112.9
33,apaga,0,0,TN,0,14,0.0,apaga:14,
34,outra,0,0,TN,0,14,0.0,apaga:14,
35,acende,1,1,TP,1,14,0.85,acende:2;apaga:10;unknown:2,112.8
36,ruido,0,0,TN,0,14,0.38,acende:1;apaga:13,
37,ruido,0,0,TN,0,14,0.0,apaga:14,
38,acende,1,1,TP,1,14,0.73,acende:2;apaga:11;unknown:1,112.9
39,apaga,0,0,TN,0,14,0.0,apaga:14,
40,apaga,0,0,TN,0,14,0.0,apaga:14,
41,acende,1,1,TP,1,14,0.75,acende:2;apaga:11;unknown:1,112.9
42,apaga,0,0,TN,0,14,0.0,apaga:14,
43,acende,1,1,TP,1,14,0.66,acende:2;apaga:9;unknown:3,112.9
44,acende,1,1,TP,1,14,0.68,acende:2;apaga:11;unknown:1,112.8
45,acende,1,1,TP,1,14,0.76,acende:2;apaga:10;unknown:2,112.9
46,acende,1,1,TP,1,14,0.61,acende:2;apaga:10;unknown:2,112.9
47,acende,1,1,TP,1,14,0.61,acende:2;apaga:10;unknown:2,112.9
48,acende,1,1,TP,1,14,0.74,acende:1;apaga:10;unknown:3,112.8
49,acende,1,1,TP,1,14,0.72,acende:3;apaga:8;unknown:3,112.8
50,outra,0,1,FP,1,14,0.93,acende:2;apaga:10;unknown:2,112.8
