2026-09-19T20:42:47.597 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.597 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.598 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.598 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.598 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.599 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.599 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.600 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.600 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.601 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.601 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.602 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.602 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.603 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.603 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.603 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.604 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.604 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.605 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.605 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.606 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.606 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.607 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.607 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.607 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.608 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.608 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.609 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.609 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.609 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.610 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.610 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.610 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.611 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.611 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.611 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.612 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.612 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.612 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.613 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.613 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.613 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.614 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.614 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.614 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.615 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.615 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.615 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.616 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.616 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.617 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.617 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.617 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.618 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.618 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.619 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.619 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.619 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.620 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.620 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.620 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.621 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.621 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.622 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.622 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.623 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.623 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.623 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.624 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.624 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.625 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.625 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.625 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.626 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.626 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.626 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.627 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.627 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.627 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.628 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.628 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.628 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.629 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.629 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.629 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.630 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.630 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.631 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.631 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.631 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.632 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.632 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.633 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.633 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.633 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.634 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.634 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.635 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.635 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.636 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.636 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.637 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.637 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.638 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.638 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.639 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.639 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.640 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.640 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.640 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.641 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.641 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.642 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.642 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.643 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.643 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.643 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.644 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.644 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.645 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.645 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.646 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.646 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.646 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.647 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.647 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.648 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.648 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.648 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.649 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.649 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.649 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.650 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.650 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.651 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.651 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.651 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.652 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.652 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.653 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.653 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.653 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.654 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.654 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.655 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.655 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.655 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.656 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.656 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.657 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.657 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.657 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.658 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.658 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.658 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.659 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.659 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.659 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.660 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.660 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.660 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.661 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.661 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.661 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.662 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.662 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.662 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.663 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.663 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.663 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.663 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.664 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.664 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.664 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.665 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.665 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.666 4 T3=109.1 | E2E=112.8ms
